id,name,created_at
iziswap_zksync,iZiSwap (zkSync),20250330_014029
jediswap-starknet-alpha,JediSwap,20250330_014029
jellyswap,Jellyverse,20250330_014029
jetswap,JetSwap,20250330_014029
jojo-exchange-futures,JOJO Exchange,20250330_014029
jswap,Jswap,20250330_014029
julswap,Julswap,20250330_014029
justmoney_bttc,Justmoney (Bittorent),20250330_014029
justmoney-tron,JustMoney (Tron),20250330_014029
kaiaswap-klaytn,KaiaSwap,20250330_014029
kaidex,Kaidex,20250330_014029
kaidex_v3,Kaidex V3,20250330_014029
kaleidoswap-arbitrum,KaleidoSwap (Arbitrum),20250330_014029
kanga,Kanga,20250330_014029
karura_swap,Karura Swap,20250330_014029
katana,Katana,20250330_014029
katana-v3,Katana V3,20250330_014029
kava,Kava Swap,20250330_014029
kayen,KAYEN,20250330_014029
kcex-futures,KCEX (Futures),20250330_014029
kewlswap-chiliz-chain,KEWLSwap (Chiliz Chain),20250330_014029
kickex,KickEX,20250330_014029
kiloex-bsc,KiloEx (BSC),20250330_014029
kiloex-manta-pacific,KiloEx (Manta Pacific),20250330_014029
kiloex-opbnb,KiloEx (opBnb),20250330_014029
kim,Kim,20250330_014029
kim-v4,Kim V4,20250330_014029
kine-protocol-derivatives,Kine Protocol (Derivatives),20250330_014029
kine-protocol-spot,Kine Protocol (Spot),20250330_014029
kinesis_money,Kinesis Money,20250330_014029
kinetix-v3,Kinetix V3,20250330_014029
kittenswap,Kittenswap,20250330_014029
klayswap,KLAYSwap,20250330_014029
klayswap-v3,Klayswap V3,20250330_014029
klever_exchange,Bitcoin.me,20250330_014029
knightswap,KnightSwap,20250330_014029
kodiak-v2,Kodiak V2,20250330_014029
kodiak-v3,Kodiak V3,20250330_014029
kodo-exchange,Kodo Exchange,20250330_014029
koi-finance-v3,Koi Finance V3,20250330_014029
koinbazar,KoinBX,20250330_014029
koinpark,Koinpark,20250330_014029
komodo_wallet,Komodo Wallet,20250330_014029
korbit,Korbit,20250330_014029
kraken,Kraken,20250330_014029
kraken_futures,Kraken (Futures),20250330_014029
kriya-dex,Kriya,20250330_014029
ktx_finance_arbitrum_derivatives,KTX.Finance (Arbitrum),20250330_014029
ktx_finance_bsc_derivatives,KTX.Finance (BSC),20250330_014029
ktx_finance_mantle_derivatives,KTX.Finance (Mantle),20250330_014029
kucoin,KuCoin,20250330_014029
kujira,Kujira Fin,20250330_014029
kumex,KuCoin Futures,20250330_014029
kuna,Kuna Exchange,20250330_014029
kuswap,Kuswap,20250330_014029
kwenta_derivatives,Kwenta Derivatives,20250330_014029
kyberswap_classic_arbitrum,Kyberswap Classic (Arbitrum),20250330_014029
kyberswap_classic_avalanche,KyberSwap Classic (Avalanche),20250330_014029
kyberswap_classic_bsc,KyberSwap Classic (BSC),20250330_014029
kyberswap_classic_bttc,Kyberswap Classic (Bittorent),20250330_014029
kyberswap_classic_ethereum,KyberSwap Classic (Ethereum),20250330_014029
kyberswap_classic_fantom,KyberSwap Classic (Fantom),20250330_014029
kyberswap_classic_optimism,Kyberswap Classic (Optimism),20250330_014029
kyberswap_classic_polygon,KyberSwap Classic (Polygon),20250330_014029
kyberswap_elastic,KyberSwap Elastic (Ethereum),20250330_014029
kyberswap_elastic_arbitrum,Kyberswap Elastic (Arbitrum),20250330_014029
kyberswap_elastic_avalanche,Kyberswap Elastic (Avalanche),20250330_014029
kyberswap_elastic_bsc,Kyberswap Elastic (BSC),20250330_014029
kyberswap_elastic_fantom,Kyberswap Elastic (Fantom),20250330_014029
kyberswap-elastic-linea,Kyberswap Elastic (Linea),20250330_014029
kyberswap_elastic_optimism,Kyberswap Elastic (Optimism),20250330_014029
